,time,home,away,league,Over (2.5),Under (2.5),Over (1.5),Under (1.5),Over (3.5),Under (3.5),Over (4.5),Under (4.5),Over (5.5),Under (5.5),Over (0.5),Under (0.5)
0,5:00 pm Fri 05/04,CSM Cetatea Turnu Magurele,Scm Ramnicu Valcea,Football / Romania / Liga 3,1.54,2.21,,,,,,,,,,
1,5:00 pm Fri 05/04,Acb Ineu,CS Gloria Lunca-Teuz Cermei,Football / Romania / Liga 3,1.58,2.14,,,,,,,,,,
2,5:00 pm Fri 05/04,FK Septemvri Sofia,FK Spartak 1918 Varna,Football / Bulgaria / Second Prof. League,1.78,1.86,,,,,,,,,,
3,5:00 pm Fri 05/04,FC Goa,Hyderabad FC,Football / India / Indian Super League,1.27,3.15,1.06,6.25,1.74,1.89,2.65,1.38,4.40,1.14,,
4,5:00 pm Fri 05/04,PFK Sochi YOUTH,Football Academy Of Konoplev YOUTH,Football / Russian Federation / Youth League,1.22,3.75,,,1.59,2.19,2.30,1.54,,,,
5,5:00 pm Fri 05/04,FK Arsenal Dzerzhinsk,FC Vitebsk,Football / Belarus / Vysshaya Liga,2.35,1.48, 1.42,2.50,4.35,1.15,7.75,1.02,,,1.06,6.25
6,5:00 pm Fri 05/04,Cyprus,Belarus,"Football / International / Womens Euro, Qualif.",1.52,2.25, 1.14,4.40,2.35,1.49,,,,,,
7,5:00 pm Fri 05/04,CS Gloria 2018 Bistrita-Nasaud,ACS Medias 2022,Football / Romania / Liga 3,1.90,1.73,1.27,3.15,3.25,1.26,,,,,,
8,5:00 pm Fri 05/04,Csm Ramnicu Sarat,AFC 1919 Dacia Unirea Braila,Football / Romania / Liga 3,,,,,1.79,1.84,,,,,,
9,5:00 pm Fri 05/04,FC Pucioasa,Csm Flacara Moreni,Football / Romania / Liga 3,1.68,1.98,,,,,,,,,,
10,5:00 pm Fri 05/04,ACS Kids Tampa Brasov,FC Rasnov,Football / Romania / Liga 3,1.80,1.82, 1.24,3.40,3.00,1.30,,,,,,
11,5:00 pm Fri 05/04,CS Phoenix Buzias,Csc Peciu Nou,Football / Romania / Liga 3,1.65,2.01, 1.19,3.85,2.60,1.39,,,,,,
12,5:00 pm Fri 05/04,CD Vitoria,CD Derio,"Football / Spain / Tercera Federacion, Group 4",1.79,1.84,1.24,3.40,3.00,1.30,,,,,,
13,5:00 pm Fri 05/04,Scm Zalau,Csm Satu Mare,Football / Romania / Liga 3,1.61,2.07,,,,,,,,,,
14,5:00 pm Fri 05/04,CS Lotus Baile Felix,Csm Victoria Carei,Football / Romania / Liga 3,1.54,2.19,,,,,,,,,,
15,5:00 pm Fri 05/04,CSC Ghiroda SI Giarmata Vii,Acso Filiasi,Football / Romania / Liga 3,1.44,2.45,,,2.12,1.58,3.50,1.22,,,,
16,5:00 pm Fri 05/04,Acad Viitorul Cluj,CSM Avantul Reghin,Football / Romania / Liga 3,1.81,1.81,,,,,,,,,,
17,5:00 pm Fri 05/04,CS Dinamo Bucuresti,SC Popesti Leordeni,Football / Romania / Liga 3,1.91,1.72, 1.28,3.15,3.30,1.25,,,,,,
18,5:15 pm Fri 05/04,PFC Sogdiana,Qizilqum Zarafshon,Football / Uzbekistan / Superliga,2.10,1.60,1.34,2.80,3.75,1.20,,,,,,
0,5:00 pm Fri 05/04,CSM Cetatea Turnu Magurele,Scm Ramnicu Valcea,Football / Romania / Liga 3,1.54,2.21,,,,,,,,,,
1,5:00 pm Fri 05/04,Acb Ineu,CS Gloria Lunca-Teuz Cermei,Football / Romania / Liga 3,1.58,2.14,,,,,,,,,,
2,5:00 pm Fri 05/04,FK Septemvri Sofia,FK Spartak 1918 Varna,Football / Bulgaria / Second Prof. League,1.78,1.86,,,,,,,,,,
3,5:00 pm Fri 05/04,FC Goa,Hyderabad FC,Football / India / Indian Super League,1.27,3.15,1.06,6.25,1.74,1.89,2.65,1.38,4.40,1.14,,
4,5:00 pm Fri 05/04,PFK Sochi YOUTH,Football Academy Of Konoplev YOUTH,Football / Russian Federation / Youth League,1.22,3.75,,,1.59,2.19,2.30,1.54,,,,
5,5:00 pm Fri 05/04,FK Arsenal Dzerzhinsk,FC Vitebsk,Football / Belarus / Vysshaya Liga,2.35,1.48, 1.42,2.50,4.35,1.15,7.75,1.02,,,1.06,6.25
6,5:00 pm Fri 05/04,Cyprus,Belarus,"Football / International / Womens Euro, Qualif.",1.52,2.25, 1.14,4.40,2.35,1.49,,,,,,
7,5:00 pm Fri 05/04,CS Gloria 2018 Bistrita-Nasaud,ACS Medias 2022,Football / Romania / Liga 3,1.90,1.73,1.27,3.15,3.25,1.26,,,,,,
8,5:00 pm Fri 05/04,Csm Ramnicu Sarat,AFC 1919 Dacia Unirea Braila,Football / Romania / Liga 3,,,,,1.79,1.84,,,,,,
9,5:00 pm Fri 05/04,FC Pucioasa,Csm Flacara Moreni,Football / Romania / Liga 3,1.68,1.98,,,,,,,,,,
10,5:00 pm Fri 05/04,ACS Kids Tampa Brasov,FC Rasnov,Football / Romania / Liga 3,1.80,1.82, 1.24,3.40,3.00,1.30,,,,,,
11,5:00 pm Fri 05/04,CS Phoenix Buzias,Csc Peciu Nou,Football / Romania / Liga 3,1.65,2.01, 1.19,3.85,2.60,1.39,,,,,,
12,5:00 pm Fri 05/04,CD Vitoria,CD Derio,"Football / Spain / Tercera Federacion, Group 4",1.79,1.84,1.24,3.40,3.00,1.30,,,,,,
